trap_date,harvest_date,line,line_ID,trap_mass,total_mass,egg_mass
27-Jul-20,30-Jul-20,A,,7.457,7.587,0.13
27-Jul-20,30-Jul-20,A,,7.8722,9.884,2.0118
27-Jul-20,30-Jul-20,C,,7.7308,8.3385,0.6077
27-Jul-20,30-Jul-20,C,,9.23,9.6876,0.4576
27-Jul-20,30-Jul-20,C,,7.86,8.0278,0.1678
27-Jul-20,30-Jul-20,C,,8.536,8.6459,0.1099
27-Jul-20,30-Jul-20,D,,9.04,9.5466,0.5066
27-Jul-20,30-Jul-20,D,,7.95,8.4915,0.5415
27-Jul-20,30-Jul-20,M,,7.31,7.6552,0.3452
30-Jul-20,3-Aug-20,A,,7.5078,8.0929,0.5851
30-Jul-20,3-Aug-20,B,1,9.1182,15.6015,6.4833
30-Jul-20,3-Aug-20,C,,8.66,8.6918,0.0318
30-Jul-20,3-Aug-20,C,,7.2077,7.289,0.0813
30-Jul-20,3-Aug-20,C,,6.6077,6.6565,0.0488
30-Jul-20,3-Aug-20,D,,7.0298,7.1094,0.0796
30-Jul-20,3-Aug-20,M,,6.5763,6.7352,0.1589
3-Aug-20,5-Aug-20,B,1,10.5053,15.1436,4.6383
5-Aug-20,7-Aug-20,B,1,9.2592,15.9338,6.6746
5-Aug-20,7-Aug-20,C,1,10.3215,12.3695,2.048
5-Aug-20,7-Aug-20,D,1,9.9812,10.916,0.9348
7-Aug-20,11-Aug-20,B,1,8.3517,11.8512,3.4995
7-Aug-20,11-Aug-20,C,1,6.557,8.877,2.32
7-Aug-20,11-Aug-20,D,1,7.99,9.3295,1.3395
11-Aug-20,12-Aug-20,B,1,10.86,11.6692,0.8092
12-Aug-20,14-Aug-20,B,1,40.7314,41.4939,0.7625
12-Aug-20,14-Aug-20,C,1,8.09,8.9338,0.8438
11-Aug-20,14-Aug-20,M,,7.7613,7.9986,0.2373
14-Aug-20,17-Aug-20,D,3,7.0967,7.5246,0.4279
14-Aug-20,17-Aug-20,D,2,7.8217,9.0223,1.2006
17-Aug-20,18-Aug-20,D,3,32.915,33.2309,0.3159
17-Aug-20,19-Aug-20,C,2,7.2527,7.7362,0.4835
17-Aug-20,19-Aug-20,C,3,7.2163,7.6639,0.4476
17-Aug-20,19-Aug-20,C,4,7.3503,8.1298,0.7795
17-Aug-20,19-Aug-20,D,2,7.6602,8.9012,1.241
17-Aug-20,19-Aug-20,D,3,7.1098,7.5071,0.3973
19-Aug-20,21-Aug-20,C,2,8.0218,9.1881,1.1663
19-Aug-20,21-Aug-20,C,3,8.1105,9.6663,1.5558
19-Aug-20,21-Aug-20,C,4,7.2934,9.599,2.3056
19-Aug-20,21-Aug-20,D,2,6.755,8.7596,2.0046
19-Aug-20,21-Aug-20,D,3,8.5409,8.8166,0.2757
19-Aug-20,21-Aug-20,D,4,7.0875,9.0233,1.9358
19-Aug-20,21-Aug-20,D,6,6.122,7.2977,1.1757
19-Aug-20,21-Aug-20,D,7,7.7345,8.7435,1.009
19-Aug-20,21-Aug-20,D,11,7.4082,10.5665,3.1583
21-Aug-20,24-Aug-20,C,2,6.88,7.3522,0.4722
21-Aug-20,24-Aug-20,C,3,4.884,5.4486,0.5646
21-Aug-20,24-Aug-20,C,4,9.81,10.9332,1.1232
21-Aug-20,24-Aug-20,D,2,7.836,11.7317,3.8957
21-Aug-20,24-Aug-20,D,3,8.179,8.5388,0.3598
21-Aug-20,24-Aug-20,D,4,6.37,8.2075,1.8375
21-Aug-20,24-Aug-20,D,5,8.3439,10.5591,2.2152
21-Aug-20,24-Aug-20,D,6,10.1635,12.0651,1.9016
21-Aug-20,24-Aug-20,D,7,7.2229,8.4194,1.1965
21-Aug-20,24-Aug-20,D,8,6.3891,8.453,2.0639
21-Aug-20,24-Aug-20,D,9,7.3835,9.447,2.0635
21-Aug-20,24-Aug-20,D,10,7.1112,8.5829,1.4717
21-Aug-20,24-Aug-20,D,11,9.33,11.6576,2.3276
24-Aug-20,26-Aug-20,C,2,7.6824,8.0858,0.4034
24-Aug-20,26-Aug-20,C,3,8.1903,8.8095,0.6192
24-Aug-20,26-Aug-20,C,4,7.4562,8.6305,1.1743
24-Aug-20,26-Aug-20,D,2,7.2048,9.611,2.4062
24-Aug-20,26-Aug-20,D,3,8.0644,8.4752,0.4108
24-Aug-20,26-Aug-20,D,4,8.1994,10.0932,1.8938
24-Aug-20,26-Aug-20,D,5,7.8405,9.6028,1.7623
24-Aug-20,26-Aug-20,D,6,7.3674,8.6923,1.3249
24-Aug-20,26-Aug-20,D,7,8.9923,9.8725,0.8802
24-Aug-20,26-Aug-20,D,8,7.4858,9.0162,1.5304
24-Aug-20,26-Aug-20,D,9,7.6466,9.7443,2.0977
24-Aug-20,26-Aug-20,D,10,7.5992,9.8326,2.2334
24-Aug-20,26-Aug-20,D,11,7.5031,8.8356,1.3325
26-Aug-20,28-Aug-20,C,2,8.0684,8.9038,0.8354
26-Aug-20,28-Aug-20,C,3,7.666,9.1064,1.4404
26-Aug-20,28-Aug-20,C,4,7.6159,9.7509,2.135
26-Aug-20,28-Aug-20,C,5,7.9612,8.1948,0.2336
26-Aug-20,28-Aug-20,C,6,7.7451,8.8606,1.1155
26-Aug-20,28-Aug-20,D,2,8.1561,8.3278,0.1717
26-Aug-20,28-Aug-20,D,3,7.6063,7.6445,0.0382
26-Aug-20,28-Aug-20,D,4,7.5524,9.1932,1.6408
26-Aug-20,28-Aug-20,D,5,7.8425,10.6058,2.7633
26-Aug-20,28-Aug-20,D,6,8.0128,8.8281,0.8153
26-Aug-20,28-Aug-20,D,7,7.9867,8.576,0.5893
26-Aug-20,28-Aug-20,D,8,7.8236,9.5664,1.7428
26-Aug-20,28-Aug-20,D,9,7.9877,10.6247,2.637
26-Aug-20,28-Aug-20,D,10,7.6052,9.8965,2.2913
26-Aug-20,28-Aug-20,D,11,7.9657,9.2273,1.2616
28-Aug-20,31-Aug-20,C,3,7.6755,9.1677,1.4922
28-Aug-20,31-Aug-20,C,4,6.9686,8.293,1.3244
28-Aug-20,31-Aug-20,C,5,8.3654,9.4812,1.1158
28-Aug-20,31-Aug-20,C,6,7.4489,9.1973,1.7484
28-Aug-20,31-Aug-20,C,7,7.4672,8.8021,1.3349
28-Aug-20,31-Aug-20,D,2,8.0965,8.3083,0.2118
28-Aug-20,31-Aug-20,D,4,7.1453,9.4911,2.3458
28-Aug-20,31-Aug-20,D,5,8.5044,11.6327,3.1283
28-Aug-20,31-Aug-20,D,8,7.0241,9.4139,2.3898
28-Aug-20,31-Aug-20,D,9,7.4267,9.8166,2.3899
28-Aug-20,31-Aug-20,D,10,7.4383,12.066,4.6277
28-Aug-20,31-Aug-20,D,11,7.6245,8.8962,1.2717
31-Aug-20,2-Sep-20,C,2,8.0834,8.3522,0.2688
31-Aug-20,2-Sep-20,C,3,7.782,8.1443,0.3623
31-Aug-20,2-Sep-20,C,4,8.184,8.8899,0.7059
31-Aug-20,2-Sep-20,C,5,7.6451,7.8401,0.195
31-Aug-20,2-Sep-20,C,6,8.2852,9.3281,1.0429
31-Aug-20,2-Sep-20,C,7,6.6541,7.7466,1.0925
31-Aug-20,2-Sep-20,D,4,7.4471,9.062,1.6149
31-Aug-20,2-Sep-20,D,5,8.5833,9.9528,1.3695
31-Aug-20,2-Sep-20,D,6,7.9014,9.3025,1.4011
31-Aug-20,2-Sep-20,D,7,7.2985,8.1846,0.8861
31-Aug-20,2-Sep-20,D,8,7.6396,9.4526,1.813
31-Aug-20,2-Sep-20,D,9,6.8702,8.7244,1.8542
31-Aug-20,2-Sep-20,D,10,7.4709,9.7262,2.2553
31-Aug-20,2-Sep-20,D,11,7.4481,7.4481,0
2-Sep-20,4-Sep-20,C,5,5.6359,5.798,0.1621
2-Sep-20,4-Sep-20,C,7,6.0498,6.2878,0.238
2-Sep-20,4-Sep-20,D,5,5.6124,6.076,0.4636
2-Sep-20,4-Sep-20,D,6,5.7925,6.25,0.4575
2-Sep-20,4-Sep-20,D,7,5.7361,5.9951,0.259
2-Sep-20,4-Sep-20,D,8,7.01,7.6943,0.6843
2-Sep-20,4-Sep-20,D,9,5.291,5.8312,0.5402
2-Sep-20,4-Sep-20,D,10,6.7567,7.7727,1.016
2-Sep-20,4-Sep-20,M,,7.2803,8.5324,1.2521
2-Sep-20,4-Sep-20,M,,5.6038,5.9448,0.341
4-Sep-20,7-Sep-20,D,4,5.0462,5.4976,0.4514
4-Sep-20,7-Sep-20,D,5,6.3898,6.6422,0.2524
4-Sep-20,7-Sep-20,D,6,5.1962,5.2911,0.0949
4-Sep-20,7-Sep-20,D,7,5.076,5.1656,0.0896
4-Sep-20,7-Sep-20,D,8,5.1656,5.3877,0.2221
4-Sep-20,7-Sep-20,D,9,5.2127,5.4006,0.1879
4-Sep-20,7-Sep-20,D,10,5.259,5.9919,0.7329
4-Sep-20,7-Sep-20,D,11,5.4486,5.7771,0.3285
4-Sep-20,7-Sep-20,D,12,5.48654,5.6763,0.18976
4-Sep-20,7-Sep-20,D,14,6.1886,6.282,0.0934
4-Sep-20,7-Sep-20,D,15,5.3358,5.3743,0.0385
4-Sep-20,7-Sep-20,C,6,7.0114,10.0324,3.021
4-Sep-20,7-Sep-20,C,9,5.6097,5.8606,0.2509
4-Sep-20,7-Sep-20,C,5,5.5064,7.3228,1.8164
7-Sep-20,5-Sep-20,C,5,7.3007,8.1149,0.8142
7-Sep-20,5-Sep-20,C,6,5.1558,6.2907,1.1349
7-Sep-20,5-Sep-20,C,8,6.3738,7.2577,0.8839
7-Sep-20,5-Sep-20,C,NA,NA,NA,1.2815
7-Sep-20,5-Sep-20,D,4,6.4396,6.4792,0.0396
7-Sep-20,5-Sep-20,D,5,4.7249,4.8608,0.1359
7-Sep-20,5-Sep-20,D,9,6.2312,6.2536,0.0224
7-Sep-20,5-Sep-20,D,10,5.5887,5.7359,0.1472
7-Sep-20,5-Sep-20,D,11,6.068,6.2531,0.1851
7-Sep-20,5-Sep-20,D,12,6.0921,6.6015,0.5094
7-Sep-20,5-Sep-20,D,14,5.86,6.5331,0.6731
7-Sep-20,5-Sep-20,D,15,6.2446,6.5198,0.2752
9-Sep-20,11-Sep-20,A,5,6.02,6.0847,0.0647
9-Sep-20,11-Sep-20,B,NA,6.8269,6.9732,0.1463
9-Sep-20,11-Sep-20,B,2,7.2142,7.5732,0.359
9-Sep-20,11-Sep-20,B,3,6.6286,7.0798,0.4512
9-Sep-20,11-Sep-20,C,NA,7.901,10.9374,3.0364
9-Sep-20,11-Sep-20,C,5,6.6467,6.6869,0.0402
9-Sep-20,11-Sep-20,C,6,5.7744,5.8708,0.0964
9-Sep-20,11-Sep-20,C,8,7.8889,8.4122,0.5233
9-Sep-20,11-Sep-20,C,9,5.302,5.4742,0.1722
9-Sep-20,11-Sep-20,C,10,7.658,8.416,0.758
9-Sep-20,11-Sep-20,C,11,5.7695,5.9722,0.2027
9-Sep-20,11-Sep-20,C,12,7.3835,7.4701,0.0866
9-Sep-20,11-Sep-20,C,13,6.831,7.1867,0.3557
9-Sep-20,11-Sep-20,C,21,8.1563,9.3382,1.1819
9-Sep-20,11-Sep-20,D,12,7.3321,7.8601,0.528
9-Sep-20,11-Sep-20,D,13,7.6561,8.3387,0.6826
9-Sep-20,11-Sep-20,D,16,7.019,7.4359,0.4169
9-Sep-20,11-Sep-20,D,17,6.5553,7.3218,0.7665
9-Sep-20,11-Sep-20,D,23,6.8784,8.409,1.5306
9-Sep-20,11-Sep-20,D,27,7.1353,7.77,0.6347
11-Sep-20,14-Sep-20,C,21,6.4392,7.692,1.2528
11-Sep-20,14-Sep-20,C,9,5.5747,5.7689,0.1942
11-Sep-20,14-Sep-20,C,13,8.1685,9.1541,0.9856
11-Sep-20,14-Sep-20,C,12,6.5782,6.7514,0.1732
11-Sep-20,14-Sep-20,C,10,7.1497,8.415,1.2653
11-Sep-20,14-Sep-20,C,18,6.4948,7.074,0.5792
11-Sep-20,14-Sep-20,C,11,7.477,7.945,0.468
11-Sep-20,14-Sep-20,B,2,6.4383,6.6035,0.1652
11-Sep-20,14-Sep-20,B,3,7.573,7.9015,0.3285
11-Sep-20,14-Sep-20,E,1,7.5538,8.9268,1.373
11-Sep-20,14-Sep-20,A,3,6.4942,6.998,0.5038
11-Sep-20,14-Sep-20,A,2,7.1826,8.2008,1.0182
11-Sep-20,14-Sep-20,A,1,7.5284,8.0457,0.5173
11-Sep-20,14-Sep-20,A,5,7.0708,7.2299,0.1591
11-Sep-20,14-Sep-20,A,10,7.4361,9.0947,1.6586
11-Sep-20,14-Sep-20,D,15,7.1535,7.3681,0.2146
11-Sep-20,14-Sep-20,D,12,7.1296,7.3945,0.2649
11-Sep-20,14-Sep-20,D,23,7.3943,8.316,0.9217
11-Sep-20,14-Sep-20,D,13,7.8976,8.4328,0.5352
11-Sep-20,14-Sep-20,D,27,8.2715,9.1402,0.8687
11-Sep-20,14-Sep-20,D,17,7.0651,7.7727,0.7076
14-Sep-20,16-Sep-20,E,1,7.124,8.6934,1.5694
14-Sep-20,16-Sep-20,E,2,6.3977,6.5956,0.1979
14-Sep-20,16-Sep-20,D,16,7.117,7.393,0.276
14-Sep-20,16-Sep-20,D,17,6.4097,6.9165,0.5068
14-Sep-20,16-Sep-20,D,27,7.3886,8.0279,0.6393
14-Sep-20,16-Sep-20,D,23,6.6865,6.997,0.3105
14-Sep-20,16-Sep-20,D,14,6.6821,6.8024,0.1203
14-Sep-20,16-Sep-20,A,1,6.9367,7.095,0.1583
14-Sep-20,16-Sep-20,A,2,6.7179,7.5975,0.8796
14-Sep-20,16-Sep-20,A,3,6.8065,7.7469,0.9404
14-Sep-20,16-Sep-20,A,4,9.7117,9.8483,0.1366
14-Sep-20,16-Sep-20,A,5,6.743,6.7899,0.0469
14-Sep-20,16-Sep-20,A,10,7.1099,8.1957,1.0858
14-Sep-20,16-Sep-20,C,8,6.6204,6.7928,0.1724
14-Sep-20,16-Sep-20,C,13,6.5019,6.7734,0.2715
14-Sep-20,16-Sep-20,C,10,6.9013,7.9969,1.0956
14-Sep-20,16-Sep-20,C,18,7.2232,7.4925,0.2693
14-Sep-20,16-Sep-20,C,11,6.5628,6.9459,0.3831
14-Sep-20,16-Sep-20,C,21,6.9281,7.7803,0.8522
15-Sep-20,18-Sep-20,B,3,6.749,7.07,0.321
16-Sep-20,18-Sep-20,B,3,8.3121,8.5956,0.2835
16-Sep-20,18-Sep-20,E,2,8.0836,11.8377,3.7541
16-Sep-20,18-Sep-20,E,1,9.1132,10.1143,1.0011
16-Sep-20,18-Sep-20,A,8,6.1381,6.6368,0.4987
16-Sep-20,18-Sep-20,A,3,8.7671,10.1169,1.3498
16-Sep-20,18-Sep-20,A,6,7.9616,8.022,0.0604
16-Sep-20,18-Sep-20,A,9,6.7769,7.1554,0.3785
16-Sep-20,18-Sep-20,A,7,9.3225,9.9566,0.6341
16-Sep-20,18-Sep-20,A,10,9.8182,15.0443,5.2261
16-Sep-20,18-Sep-20,A,1,9.1446,9.223,0.0784
16-Sep-20,18-Sep-20,A,4,11.3595,11.6409,0.2814
16-Sep-20,18-Sep-20,A,2,7.8577,10.0509,2.1932
16-Sep-20,18-Sep-20,C,10,10.9507,14.5317,3.581
16-Sep-20,18-Sep-20,C,11,9.1314,10.161,1.0296
16-Sep-20,18-Sep-20,C,13,8.9676,10.1314,1.1638
16-Sep-20,18-Sep-20,C,18,8.9889,9.9098,0.9209
16-Sep-20,18-Sep-20,C,8,6.8212,6.8658,0.0446
16-Sep-20,18-Sep-20,C,21,9.6528,13.6405,3.9877
16-Sep-20,18-Sep-20,C,16,6.7493,7.3868,0.6375
16-Sep-20,18-Sep-20,C,17,6.9913,7.0048,0.0135
16-Sep-20,18-Sep-20,C,12,8.4548,8.9622,0.5074
16-Sep-20,18-Sep-20,C,15,8.3754,9.4313,1.0559
16-Sep-20,18-Sep-20,D,13,6.5125,7.0898,0.5773
16-Sep-20,18-Sep-20,D,16,8.9112,9.3231,0.4119
16-Sep-20,18-Sep-20,D,23,9.8524,10.8123,0.9599
16-Sep-20,18-Sep-20,D,14,7.2017,7.2888,0.0871
16-Sep-20,18-Sep-20,D,20,8.218,8.3851,0.1671
16-Sep-20,18-Sep-20,D,27,11.2126,12.9703,1.7577
16-Sep-20,18-Sep-20,D,26,10.8917,11.0663,0.1746
16-Sep-20,18-Sep-20,D,25,7.1051,7.0985,0.1
16-Sep-20,18-Sep-20,D,17,8.9199,11.264,2.3441
16-Sep-20,18-Sep-20,D,12,6.8152,7.3137,0.4985
18-Sep-20,21-Sep-20,E,1,9.3474,9.7707,0.4233
18-Sep-20,21-Sep-20,A,2,8.2056,9.7561,1.5505
18-Sep-20,21-Sep-20,A,1,9.0779,10.1383,1.0604
18-Sep-20,21-Sep-20,A,10,8.308,10.4404,2.1324
18-Sep-20,21-Sep-20,A,4,6.6725,7.114,0.4415
18-Sep-20,21-Sep-20,A,8,8.4,9.4184,1.0184
18-Sep-20,21-Sep-20,C,17,10.1229,10.4489,0.326
18-Sep-20,21-Sep-20,C,15,9.522,9.9218,0.3998
18-Sep-20,21-Sep-20,C,13,9.3958,9.8396,0.4438
18-Sep-20,21-Sep-20,C,14,6.3827,7.7571,1.3744
18-Sep-20,21-Sep-20,C,11,9.3914,9.6103,0.2189
18-Sep-20,21-Sep-20,C,18,7.0622,7.4106,0.3484
18-Sep-20,21-Sep-20,D,12,5.949,7.9381,1.9891
18-Sep-20,21-Sep-20,D,16,7.3358,7.7413,0.4055
18-Sep-20,21-Sep-20,D,23,8.3506,9.0848,0.7342
18-Sep-20,21-Sep-20,D,27,7.9681,8.2165,0.2484
18-Sep-20,21-Sep-20,D,20,10.9596,11.8121,0.8525
18-Sep-20,21-Sep-20,D,25,9.2235,10.3871,1.1636
18-Sep-20,21-Sep-20,D,17,6.4016,8.5032,2.1016
18-Sep-20,21-Sep-20,D,26,8.7145,10.9547,2.2402
18-Sep-20,21-Sep-20,D,14,6.2986,6.876,0.5774
18-Sep-20,21-Sep-20,B,3,9.9532,10.3533,0.4001
18-Sep-20,21-Sep-20,E,2,9.3575,14.4838,5.1263
18-Sep-20,21-Sep-20,C,12,7.2659,7.42,0.1541
18-Sep-20,21-Sep-20,C,10,8.5092,9.8692,1.36
18-Sep-20,21-Sep-20,C,16,6.426,6.4837,0.0577
18-Sep-20,21-Sep-20,C,8,5.7189,5.9482,0.2293
18-Sep-20,21-Sep-20,C,21,8.7727,11.0341,2.2614
18-Sep-20,21-Sep-20,A,7,9.3432,12.5527,3.2095
18-Sep-20,21-Sep-20,A,3,9.7333,11.9031,2.1698
18-Sep-20,21-Sep-20,A,9,10.465,11.288,0.823
18-Sep-20,21-Sep-20,A,6,8.9846,9.5455,0.5609
21-Sep-20,23-Sep-20,B,13,6.4269,6.5427,0.1158
21-Sep-20,23-Sep-20,D,12,7.3833,7.9373,0.554
21-Sep-20,23-Sep-20,D,23,7.5233,7.8313,0.308
21-Sep-20,23-Sep-20,D,14,6.5264,6.8169,0.2905
21-Sep-20,23-Sep-20,D,20,7.1684,8.18,1.0116
21-Sep-20,23-Sep-20,D,18,6.6428,6.6669,0.0241
21-Sep-20,23-Sep-20,D,27,6.1605,6.5808,0.4203
21-Sep-20,23-Sep-20,D,25,6.4516,7.0154,0.5638
21-Sep-20,23-Sep-20,D,26,6.9109,7.4708,0.5599
21-Sep-20,23-Sep-20,D,17,6.0803,7.1407,1.0604
21-Sep-20,23-Sep-20,E,1,7.9971,8.2635,0.2664
21-Sep-20,23-Sep-20,E,2,9.1238,12.7302,3.6064
21-Sep-20,23-Sep-20,C,10,5.8333,6.8589,1.0256
21-Sep-20,23-Sep-20,C,21,6.8375,8.4292,1.5917
21-Sep-20,23-Sep-20,C,17,7.0121,7.6187,0.6066
21-Sep-20,23-Sep-20,C,13,7.7489,7.8775,0.1286
21-Sep-20,23-Sep-20,C,15,7.2322,7.6259,0.3937
21-Sep-20,23-Sep-20,C,14,7.1541,8.8121,1.658
21-Sep-20,23-Sep-20,C,18,6.5437,6.8051,0.2614
21-Sep-20,23-Sep-20,C,12,6.6668,6.7493,0.0825
21-Sep-20,23-Sep-20,C,8,7.3114,7.7138,0.4024
21-Sep-20,23-Sep-20,A,7,6.5112,9.2877,2.7765
21-Sep-20,23-Sep-20,A,3,6.7827,7.3623,0.5796
21-Sep-20,23-Sep-20,A,9,7.6897,8.9702,1.2805
21-Sep-20,23-Sep-20,A,6,6.6296,7.2776,0.648
21-Sep-20,23-Sep-20,A,2,7.2132,7.4432,0.23
21-Sep-20,23-Sep-20,A,10,5.7804,7.7163,1.9359
21-Sep-20,23-Sep-20,A,1,7.1109,7.6749,0.564
